RO000001,0912345678,Engine noise at idle,1778984100,2,2,Oil change,120000,Engine diagnostic,180000
RO000002,0987654321,Weak front brake,1778988600,1,1,Brake pad replacement,350000
RO000003,0934567890,Rear tire losing air,1778993100,0,1,Tire patch,70000
RO000004,0967890123,Hard start in morning,1778914800,2,2,Battery check,50000,Oil change,120000
RO000005,0977777777,Loose chain noise,1778808600,2,1,Chain adjustment,80000
RO000006,0912345678,Nail in rear tire,1778998800,0,1,Tire patch,70000
RO000007,0987654321,Brake service and oil change,1779005400,2,2,Oil change,120000,Brake pad replacement,350000
RO000008,0934567890,Check engine vibration,1778751600,1,1,Engine diagnostic,180000
RO000009,0967890123,Dim headlight and weak battery,1779013500,2,1,Battery check,50000
RO000010,0977777777,Regular oil service,1778637600,0,1,Oil change,120000
RO000011,0977777777,Long trip maintenance,1778562900,2,3,Tire patch,70000,Chain adjustment,80000,Oil change,120000
RO000012,0912345678,Chain maintenance request,1779015900,1,1,Chain adjustment,80000
